permno_year,publn_nr,mahal_dist
US0001011989,18160558,139.52064469427978
US0001011989,18160728,120.4764944590138
US0001011990,18168840,155.20562784372655
US0001011990,18169052,222.24865328880162
US0001011990,18169271,222.24865328880162
US0001011990,18170734,84.61066742845153
US0001011990,18171088,141.53542561341823
US0001011990,18172000,104.75280102142001
US0001011990,18172283,140.9928107835726
US0001001990,18180365,205.7278760365282
US0001011991,18189222,95.41758984416933
US0001001991,18195258,56.017460377017095
US0001011992,18197333,179.1402664813034
US0001011992,18197812,168.9043190754958
US0001011992,18199697,74.63540513317521
US0001011992,18202139,69.162241736739
US0001011992,18202514,314.62045108381307
US0001001992,18206860,136.90439198808969
US0001001992,18219489,130.10727784671113
US0001001996,18264278,146.35697631652516
US0001001996,18267790,113.91762755099116
US0001001996,18270844,210.36688624584878
US0001001997,18271274,315.81911503886033
US0001001997,18282664,126.54435485267149
US0001001997,18283029,104.3569785988167
